ID,REQUISITO,OPERAÇÃO (Passos do Teste),RESULTADO ESPERADO,COMENTÁRIO DO CLIENTE,STATUS,RISCOS / AÇÕES
1,Documentação do Código,"Verificar se o código possui comentários claros explicando funções, fluxos e variáveis.",O código deve estar documentado de forma clara e suficiente.,Código original sem comentários.,Reprovado,Falta de entendimento do fluxo; risco de erros futuros. Documentar todo o código.
2,Nomenclatura Adequada,"Revisar nomes de métodos, variáveis e constantes para verificar clareza e padrão.",Variáveis e métodos devem ter nomes significativos e padronizados.,"Nomes como ""sql"" e ""nome"" são genéricos.",Parcial,Risco de confusão ou erros de manutenção. Renomear variáveis de forma mais clara.
3,Legibilidade e Organização,"Analisar identação, formatação, separação de responsabilidades e clareza do fluxo.",Código deve estar formatado corretamente e fácil de entender.,"Indentação irregular, SQL montado na mão e blocos desorganizados.",Reprovado,Risco de bugs e dificuldade de manutenção. Refatoração necessária.
4,Tratamento de NullPointer,Validar se a conexão e objetos SQL são verificados antes de uso.,Não deve haver ponto em que objetos nulos sejam utilizados.,`conectarBD()` pode retornar null.,Reprovado,Risco elevado de NPE em produção. Adicionar validações.
5,Fechamento de Conexões,"Verificar se Connection, Statement e ResultSet são fechados após uso.",Todas as conexões devem ser fechadas corretamente.,Nenhum recurso é fechado no código original.,Reprovado,Vazamento de conexão e travamento do BD. Implementar try-with-resources.
6,Tratamento de Exceções,Verificar se exceções são tratadas e logadas.,Exceções devem apresentar mensagens claras.,Blocos catch vazios ocultam erros.,Reprovado,Risco crítico: erro silencioso. Adicionar logs e tratamento adequado.
7,Segurança contra SQL Injection,Verificar se consultas usam PreparedStatement.,SQL deve ser parametrizado.,A query concatena strings diretamente.,Reprovado,Risco de SQL Injection. Migrar para PreparedStatement.
8,Boas Práticas de Conexão,Revisar uso de DriverManager e carregamento de driver.,Driver deve ser carregado corretamente e apenas quando necessário.,"Driver carregado com `.newInstance()`, obsoleto.",Reprovado,Atualizar para método moderno e estável de conexão.
9,Fluxo Lógico do Método,Verificar caminhos possíveis no método verificarUsuario.,O fluxo deve ser simples e linear.,"O método possui apenas um IF, mas mistura responsabilidades.",Aprovado com ressalvas,"Complexidade baixa, porém mal estruturado. Refatorar."
10,Retornos Adequados,Verificar se o método retorna corretamente em sucessos e falhas.,Retornos devem ser claros e consistentes.,Retorno depende apenas de `rs.next()`.,Parcial,Poderia retornar mais detalhes. Melhorar feedback.
